,Product_Name,Product_Price,rating,Reviews,Product_URL
12,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0 out of 5 stars,682,/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-29
13,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",899,3.8 out of 5 stars,539,/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-30
14,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",899,3.7 out of 5 stars,"6,688",/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-31
15,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,699,3.8 out of 5 stars,"1,577",/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-32
16,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,199,3.9 out of 5 stars,"3,076",/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-33
17,"Safari Tribe 35 Ltrs Large Laptop Backpack with 3 Compartments, Water Resistant Fabric - Black (TRIBE19CBBLK)","1,099",3.8 out of 5 stars,98,/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27S9SG/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-34
18,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,4.6 out of 5 stars,63,/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-35
19,ADISA 31 Ltrs Casual Backpack School College Bag Pack (Navy Blue),399,3.7 out of 5 stars,15,/ADISA-Casual-Backpack-School-College/dp/B0BX3QFVSM/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1688726226&sprefix=ba%2Caps%2C283&sr=8-36
20,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","1,900",4.1 out of 5 stars,134,/sspa/click?ie=UTF8&spc=MToxMjg2NjgzOTA2MzM0NTEwOjE2ODg3MjYyMjY6c3BfYnRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726226%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
21,"XForce Plaza Bangtan Boys KPOP Casual Backpack,USB and Audio Cable Interface Breakers Suitable for Students Laptop Backpack","1,299",4 Stars & Up,57,/sspa/click?ie=UTF8&spc=MToxMjg2NjgzOTA2MzM0NTEwOjE2ODg3MjYyMjY6c3BfYnRmOjIwMDkwNjY0ODg2MDk4OjowOjo&url=%2FXForce-Plaza-Backpack-Interface-Breakers%2Fdp%2FB0BKWX4NMD%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726226%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
22,"JD Fresh Nylon 41 Liter Expandable Travel Bags for Women, Duffle Bags for Women Luggage, Foldable Vanity Traveling Bag, Waterproof Hand Bag for Ladies Personal Items (Sakura Pink,41 x 22 x 26 CM cm)",799,3 Stars & Up,480,https://aax-eu.amazon.in/x/c/RDv5ncjMsDZ19Me3sPCI7YAAAAGJL-1HBgMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICBK7vie/https://www.amazon.in/JD-Expandable-Waterproof-Sakura-Pink/dp/B0BRNP6M1D/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.880c6186-3832-495e-9caa-7ecfb2f5e88c%3Aamzn1.sym.880c6186-3832-495e-9caa-7ecfb2f5e88c&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BRNP6M1D&pd_rd_r=d8c97593-91ae-4c50-b4c6-4b4511658ee9&pd_rd_w=wGCOa&pd_rd_wg=dDoIb&pf_rd_p=880c6186-3832-495e-9caa-7ecfb2f5e88c&pf_rd_r=NCK3DFZA57NSVQC8JXES&qid=1688726226&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-17-06195d41-65bd-48f4-8e70-03d97b6094ec
23,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",2 Stars & Up,"9,323",/sspa/click?ie=UTF8&spc=MTo3NzQ2NzQ1MzgzMjkyOTkyOjE2ODg3MjYyNDM6c3BfYXRmX25leHQ6MjAxMjc2ODM4NzIzOTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726243%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
24,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",1 Star & Up,"16,898",/sspa/click?ie=UTF8&spc=MTo3NzQ2NzQ1MzgzMjkyOTkyOjE2ODg3MjYyNDM6c3BfYXRmX25leHQ6MjAwNjM3ODQ0NTgzOTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726243%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
25,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",349,4.2 out of 5 stars,"3,978",/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-35
26,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,099",4.1 out of 5 stars,196,/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-36
27,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,499,4.1 out of 5 stars,"2,084",/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-37
28,F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),895,4.4 out of 5 stars,"4,269",/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-38
29,"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","1,599",4.0 out of 5 stars,"2,156",/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-39
30,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,988,4.2 out of 5 stars,101,/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0201/dp/B07G4D13L7/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-40
31,Gear Polyester 23 Cms Travel Duffle Bag (Black),479,4.4 out of 5 stars,1,/Gear-Training-Travel-Black-Grey-DUFCRSTNG0104/dp/B098FFTDKT/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-41
32,Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,426,4.4 out of 5 stars,"11,551",/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-42
33,"WALKENT Stylish 15.6"" Laptop Bag with Side Bottle Pocket, Anti-Theft Pockets & More for Men & Women (Model Cylapso, 27 Liters)","2,490",4.3 out of 5 stars,"3,409",/sspa/click?ie=UTF8&spc=MTo3NzQ2NzQ1MzgzMjkyOTkyOjE2ODg3MjYyNDM6c3BfbXRmOjMwMDAwNjcwMzgxNjAzMjo6MDo6&url=%2FWALKENT-Stylish-Anti-Theft-Pockets-Cylapso%2Fdp%2FB0C7KLRJ93%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726243%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
34,"WALKENT 3 in 1 Expandable 17"" Laptop Bag for Men with Front Chest Straps, Flap Cover & More (Model Macho, 39 Liters, Black)","3,990",3.9 out of 5 stars,"2,196",/sspa/click?ie=UTF8&spc=MTo3NzQ2NzQ1MzgzMjkyOTkyOjE2ODg3MjYyNDM6c3BfbXRmOjMwMDAwNjc5MTYyNzAzMjo6MDo6&url=%2FWALKENT-Expandable-Laptop-Straps-Macho%2Fdp%2FB0C7KPGR2Y%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726243%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
35,"Storite Dust & Rain Cover for Backpack with Pouch, Waterproof Dustproof Rain Cover Bag Elastic Adjustable for School, College,Office, Trekking Bags (30L-35L,Black)",189,5.0 out of 5 stars,"9,388",/Storite-Backpack-Waterproof-Dustproof-Adjustable/dp/B0C7ZWNBJZ/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-45
36,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",550,4.3 out of 5 stars,32,/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-46
37,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,489,4.2 out of 5 stars,86,/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-47
38,Gear Casual Backpack,399,3.8 out of 5 stars,850,/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-48
39,ADISA Laptop Backpack 31 Ltrs,399,4.0 out of 5 stars,63,/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-49
40,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,499,3.9 out of 5 stars,58,/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-50
41,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,494,3.7 out of 5 stars,134,/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-51
42,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",649,3.8 out of 5 stars,57,/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1688726243&sprefix=ba%2Caps%2C283&sr=8-52
43,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",599,4.6 out of 5 stars,480,/sspa/click?ie=UTF8&spc=MTo3NzQ2NzQ1MzgzMjkyOTkyOjE2ODg3MjYyNDM6c3BfYnRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_53_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726243%26sprefix%3Dba%252Caps%252C283%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
44,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,900",4.3 out of 5 stars,427,/sspa/click?ie=UTF8&spc=MTo3NzQ2NzQ1MzgzMjkyOTkyOjE2ODg3MjYyNDM6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_54_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726243%26sprefix%3Dba%252Caps%252C283%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
45,"JD Fresh Nylon 41 Liter Expandable Travel Bags for Women, Duffle Bags for Women Luggage, Foldable Vanity Traveling Bag, Waterproof Hand Bag for Ladies Personal Items (Sakura Pink,41 x 22 x 26 CM cm)","1,800",4.1 out of 5 stars,"4,269",https://aax-eu.amazon.in/x/c/RD9V6pCxEO5AhkelBFmMx_wAAAGJL-2J2wMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICCSpnHC/https://www.amazon.in/JD-Expandable-Waterproof-Sakura-Pink/dp/B0BRNP6M1D/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.880c6186-3832-495e-9caa-7ecfb2f5e88c%3Aamzn1.sym.880c6186-3832-495e-9caa-7ecfb2f5e88c&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BRNP6M1D&pd_rd_r=56aa86fc-5732-4a12-b6e7-84de1e44c788&pd_rd_w=KPdcR&pd_rd_wg=RCiRj&pf_rd_p=880c6186-3832-495e-9caa-7ecfb2f5e88c&pf_rd_r=DYR3D7T5P00VJGSZ4JNX&qid=1688726243&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-33-06195d41-65bd-48f4-8e70-03d97b6094ec
46,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",799,4 Stars & Up,196,/sspa/click?ie=UTF8&spc=MToxMzUxNzE3NjE2NjU1MzcyOjE2ODg3MjYyNjI6c3BfYXRmX25leHQ6MjAxMjc2ODM4NzIzOTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688726262%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
